era,region,"name","epithet",scale,wealth,culture,knowledge,might,"tagline"
early20,NAM,"Los Angeles","Hollywood",80,86,95,78,68,"The dream factory invents global celebrity."
early20,LAM,"Mexico City","Muralist",82,76,91,78,74,"Rivera and Kahlo paint a revolution."
early20,LAM,"Havana","Prewar",58,76,86,62,55,"Rum, rumba, and neon over the Malecón."
early20,LAM,"Buenos Aires","Tango",85,88,90,79,74,"Borges in the cafés, tango in the streets."
early20,EAF,"Johannesburg","Gold Rush",64,84,60,62,60,"Instant city atop the world's richest reef."
early20,EAF,"Addis Ababa","Imperial",48,52,60,54,68,"Highland capital that faced down empires."
early20,CEE,"Zurich","Neutral",40,80,70,84,42,"Dada in the café, Einstein in the patent office."
early20,SEU,"Madrid","Silver Age",62,60,80,72,58,"Lorca's generation, before the storm."
early20,JK,"Osaka","Taishō",80,85,72,72,60,"Japan's Manchester — briefly its largest city."
early20,CN,"Harbin","Railway",50,62,66,56,48,"Russian cupolas in Manchuria."
early20,SEA,"Singapore","Crown Colony",50,80,58,58,62,"Crossroads of the East."
early20,SEA,"Rangoon","Interwar",55,72,62,55,52,"Wealthiest city in Southeast Asia, for a moment."
early20,MEC,"Beirut","Mandate",44,64,76,72,40,"Presses, universities, and a sea breeze."
early20,MEC,"Tehran","Pahlavi",54,56,62,58,64,"An old capital paved in a hurry."
early20,WAF,"Dakar","Federal",40,54,62,58,50,"Capital of French West Africa."
early20,WAF,"Lagos","Boomtown",46,58,56,46,46,"The lagoon city gathers speed."
postwar,WE,"London","Swinging",92,94,97,92,90,"Beatles next door, banks downstairs."
postwar,WE,"Paris","Trente Glorieuses",90,90,94,92,85,"New Wave cinema and old-world primacy."
postwar,CEE,"Berlin","Divided",74,70,92,86,68,"A wall through the middle; Bowie on both sides."
postwar,CEE,"Moscow","Superpower",92,76,85,93,97,"Sputnik's hometown."
postwar,JK,"Tokyo","Bubble",99,99,93,95,84,"The future, available at street level."
postwar,CN,"Hong Kong","Boomtown",86,97,92,84,66,"Kung fu cinema and a skyline built on trade."
postwar,JK,"Seoul","Miracle",90,90,82,86,78,"From rubble to chaebol in a generation."
postwar,SAS,"Mumbai","Bollywood",95,86,93,78,74,"A film industry bigger than Hollywood, by volume."
postwar,SEA,"Singapore","Tiger",70,95,72,86,72,"From swamp port to first world in one lifetime."
postwar,NAF,"Cairo","Nasserist",90,72,86,72,76,"Voice of the Arabs on every radio."
postwar,MEC,"Beirut","Riviera",60,82,88,76,52,"Banking by day, cabaret by night — until it wasn't."
postwar,NAM,"New York","Capital of Culture",96,98,99,94,90,"Hip-hop, punk, Wall Street, MoMA — pick any two."
postwar,NAM,"Los Angeles","Entertainment",92,93,98,87,72,"Hollywood, aerospace, the car-built dream."
postwar,NAM,"San Francisco","Counterculture",70,86,93,94,64,"Summer of Love to Silicon Valley."
postwar,NAM,"Detroit","Motown",72,86,92,80,60,"The sound of young America, built on the assembly line."
postwar,LAM,"Mexico City","Mid-century",94,80,86,78,74,"Olympics, muralists' heirs, a megacity rising."
postwar,LAM,"São Paulo","Industrial",92,86,82,74,68,"Brazil's engine room."
postwar,WAF,"Lagos","Fela's",84,74,89,64,66,"Afrobeat invented at the Shrine."
postwar,WAF,"Kinshasa","Rumba",78,58,86,54,60,"Rumble in the Jungle; soundtrack by Franco."
postwar,SEU,"Milan","Design Capital",70,88,90,78,56,"Fashion week, furniture fairs, La Scala."
postwar,CEE,"Stockholm","Model",54,82,76,86,56,"The middle way, well furnished."
postwar,JK,"Osaka","Expo '70",85,88,76,78,58,"The future visited Kansai."
postwar,CN,"Taipei","Tiger",70,84,72,80,64,"Night markets and microchips."
postwar,SEA,"Bangkok","Boom",80,76,80,62,62,"Canals to expressways in a generation."
postwar,SEA,"Jakarta","Rising",85,66,70,58,66,"Ten million stories at once."
postwar,MEC,"Tehran","Pre-'79",74,80,72,68,72,"Oil money and a restless boulevard."
postwar,MEC,"Tel Aviv","Bauhaus",50,72,76,82,60,"The white city by the sea."
postwar,NAM,"Miami","Vice",58,76,80,54,46,"Neon, cocaine cowboys, and Cuban coffee."
postwar,WAF,"Abidjan","Miracle",56,68,62,52,50,"Pearl of the lagoons."
postwar,EAF,"Nairobi","Green City",54,60,58,60,52,"Safari capital, conference town."
contemporary,WE,"London","Global",95,98,96,94,91,"Finance, theatre, and two hundred languages."
contemporary,WE,"Paris","21st-Century",92,92,95,92,87,"Still the world's idea of a city."
contemporary,CEE,"Berlin","Reunified",82,84,93,90,76,"Cheap rent (once), endless night, art everywhere."
contemporary,JK,"Tokyo","Reiwa",99,95,94,95,84,"The biggest city ever built, running on time."
contemporary,CN,"Shanghai","Boom",98,96,86,90,84,"A skyline that didn't exist in 1990."
contemporary,CN,"Beijing","Rising",97,93,87,94,96,"Olympic host and superpower capital."
contemporary,JK,"Seoul","Hallyu",95,93,96,93,80,"K-pop, K-drama, K-everything."
contemporary,CN,"Shenzhen","Hardware",95,95,72,94,74,"Fishing village to tech megacity in 40 years."
contemporary,SAS,"Mumbai","Maximum City",98,90,92,80,78,"Bollywood, billionaires, and dabbawalas."
contemporary,SEA,"Singapore","Smart City",76,97,78,92,74,"The best-run square miles on Earth."
contemporary,MEC,"Dubai","Vertical",72,93,72,70,70,"A skyline conjured from sand and ambition."
contemporary,MEC,"Istanbul","Megacity",95,87,89,80,82,"Fifteen million people between two seas."
contemporary,NAF,"Cairo","Umm al-Dunya",96,74,84,72,76,"Mother of the World, twenty million strong."
contemporary,NAM,"New York","Unkillable",96,99,96,94,90,"Capital of everything; allegedly declining since 1970."
contemporary,NAM,"Los Angeles","Creator Economy",93,93,97,89,74,"Where the world's screens get filled."
contemporary,NAM,"San Francisco","Tech",74,96,82,99,68,"The internet's company town."
contemporary,LAM,"Mexico City","CDMX",96,85,91,80,76,"Art, food, and hemisphere-biggest-city energy."
contemporary,LAM,"São Paulo","Megalópole",96,88,86,78,70,"Latin America's business capital."
contemporary,WAF,"Lagos","Afrobeats",96,80,92,68,68,"Nollywood, and the sound the whole world dances to."
contemporary,EAF,"Nairobi","Silicon Savannah",76,74,72,76,64,"East Africa's hub; fintech pioneer."
earlymodern,NAM,"New York","New Amsterdam",38,60,52,56,48,"A Dutch trading post at the tip of an island."
medieval,WE,"London","Medieval",42,56,54,60,52,"A muddy river town with a famous bridge."
renaissance,WE,"London","Elizabethan",58,74,92,78,72,"Shakespeare at the Globe; sea dogs in the harbor."
renaissance,WE,"Paris","Valois",70,68,84,80,72,"Brilliant, brawling, and frequently besieged."
renaissance,SEU,"Rome","Papal",55,72,96,82,60,"Michelangelo on the scaffolding of St. Peter's."
postwar,SEU,"Rome","Dolce Vita",78,72,92,72,58,"Cinecittà, Vespas, and Fellini."
contemporary,SEU,"Athens","Modern",72,66,76,72,58,"The old names live on modern street signs."
earlymodern,SEU,"Venice","Carnival Decline",55,68,86,66,48,"Masked, magnificent, and slowly sinking."
contemporary,CEE,"Vienna","Livable",70,76,84,84,60,"Perennially voted the world's most livable city."
contemporary,CEE,"Moscow","Rings",92,84,82,84,88,"A megacity of concentric rings."
early20,CN,"Beijing","Warlord Era",78,62,74,70,55,"An imperial capital adrift."
contemporary,JK,"Kyoto","Heritage",70,64,90,74,40,"Temples, tourists, and a thousand years of craft."
earlymodern,MEC,"Baghdad","Ottoman Province",55,56,60,58,52,"A faded round city remembering its caliphs."
contemporary,NAM,"Chicago","Second City",85,88,84,84,66,"Architecture capital; second city, allegedly."
contemporary,WE,"Amsterdam","Canal Tech",70,88,84,86,58,"Bikes, fintech, and very narrow houses."
contemporary,SEU,"Madrid","Reborn",82,84,88,80,66,"Europe's best nightlife commute."
contemporary,CEE,"Stockholm","Unicorn Factory",62,86,80,90,56,"Per-capita champion of billion-dollar startups."
contemporary,SAS,"Bangalore","Tech Capital",88,86,72,92,60,"The back office that became the front office."
contemporary,SAS,"Delhi","NCR",97,84,82,78,84,"Imperial capitals stacked seven deep."
contemporary,SEA,"Bangkok","Street Food Capital",90,82,88,68,62,"Michelin stars on plastic stools."
contemporary,SEA,"Jakarta","Sinking Giant",95,78,74,62,66,"Thirty million people, one traffic jam."
contemporary,MEC,"Tel Aviv","Startup",58,88,78,92,68,"More startups than parking spots."
contemporary,MEC,"Riyadh","Vision",78,94,58,64,78,"A capital remaking itself at speed."
contemporary,NAM,"Miami","Capital of Latin America",74,86,82,62,50,"Finance fled south, culture flew north."
contemporary,NAM,"Toronto","Multicultural",82,86,80,84,60,"Half the city born somewhere else."
contemporary,LAM,"Buenos Aires","Resilient",88,68,86,74,58,"Crisis-proof culture, world-class theatre."
contemporary,EAF,"Johannesburg","Financial Capital",72,85,70,68,62,"Africa's money runs through here."
contemporary,WAF,"Accra","Rising",66,62,72,60,56,"Detty December headquarters."
contemporary,EAF,"Addis Ababa","Hub",80,58,62,56,68,"The AU's capital; an aviation crossroads."
ancient,WE,"Massalia","Greek Colony",40,64,56,62,44,"Greek sailors planted a harbor and taught Gaul to drink wine."
ancient,CN,"Xianyang","Qin",64,56,42,54,90,"One script, one measure, one ruthless empire."
ancient,CN,"Nanjing","Six Dynasties",58,56,66,62,56,"Refuge of the Han world south of the river."
ancient,SAS,"Ujjain","Avanti",46,56,64,80,50,"Indian astronomers ran their prime meridian through here."
ancient,SAS,"Vaishali","Licchavi",42,46,60,64,44,"Ran itself by vote before Athens made it famous."
ancient,WAF,"Jenné-jeno","Niger Delta",38,52,40,36,30,"A city on the Niger with no palace and no king."
ancient,EAF,"Kerma","Nubian",42,50,46,34,58,"Nubia's first kingdom, trading ivory and gold upriver."
ancient,LAM,"Cuicuilco","Preclassic",40,36,46,42,38,"The valley's first great town, buried under lava."
ancient,LAM,"Kaminaljuyu","Highland Maya",42,46,52,56,46,"Obsidian lords of the highland Maya."
medieval,JK,"Kamakura","Shogunate",56,50,62,54,82,"The shogun's seat, where the sword outranked the court."
medieval,SAS,"Thanjavur","Chola",60,70,82,64,76,"Chola kings ruled the sea lanes from a temple's shadow."
medieval,SEA,"Palembang","Srivijaya",50,80,56,68,58,"Every monk and merchant on the strait paid its tolls."
medieval,MEC,"Bukhara","Samanid",56,70,74,88,58,"Avicenna learned his medicine in its libraries."
medieval,WAF,"Djenné","Mali",44,64,60,58,40,"A mosque of mud brick, replastered by the whole town each year."
medieval,EAF,"Mapungubwe","Golden Hill",34,58,44,34,48,"Golden rhinos on a hilltop before Great Zimbabwe rose."
medieval,LAM,"Tiwanaku","Altiplano",54,50,64,60,58,"Stone gateways aligned to the sun at twelve thousand feet."
medieval,LAM,"Copán","Classic Maya",44,46,70,74,50,"The Maya carved their history deepest here."
renaissance,CN,"Suzhou","Ming",72,86,84,70,46,"Silk fortunes spent on gardens built like poems."
renaissance,JK,"Sakai","Free Port",44,74,68,52,40,"Merchant city where the tea masters set the fashion."
renaissance,SAS,"Gaur","Bengal Sultanate",70,74,58,54,62,"Brick capital fed by the richest delta on Earth."
renaissance,SAS,"Bijapur","Adil Shahi",56,62,76,60,68,"Persian poets and painters at a Deccan court."
renaissance,MEC,"Herat","Timurid",54,62,84,76,58,"Miniaturists made its court the envy of Persia."
renaissance,WAF,"Ife","Yoruba",44,52,84,56,46,"Bronze faces so lifelike that Europeans cried forgery."
renaissance,EAF,"Sofala","Gold Port",32,68,40,36,42,"Where Zimbabwe's gold met the monsoon winds."
renaissance,LAM,"Texcoco","Acolhua",54,54,78,82,56,"The poet-king Nezahualcoyotl's court of engineers."
renaissance,LAM,"Mayapan","League",42,44,54,50,52,"Last walled capital of the Maya league."
earlymodern,SAS,"Dhaka","Mughal Bengal",66,84,60,54,58,"Muslin so fine it sold for its weight in silver."
earlymodern,SAS,"Jaipur","Rajput",48,62,70,80,56,"A planned pink city around the world's largest sundial."
earlymodern,NAF,"Algiers","Corsair",44,68,46,40,74,"Corsair captains ran the western Mediterranean from here."
earlymodern,WAF,"Segou","Bamana",40,46,44,34,64,"Warrior kingdom of the middle Niger."
earlymodern,EAF,"Lamu","Swahili",28,50,64,50,34,"Carved doors and quiet poetry on the Swahili coast."
industrial,CN,"Guangzhou","Thirteen Factories",78,82,62,58,52,"All the West's China trade squeezed through one waterfront."
industrial,CN,"Tianjin","Treaty Port",62,68,52,56,58,"Beijing's harbor, garrisoned by everyone."
industrial,SEA,"Singapore","Raffles' Port",44,76,48,50,56,"A free port at the hinge of two oceans."
industrial,SAS,"Colombo","Crown Colony",42,62,48,46,48,"Coaling station turned tea capital."
industrial,MEC,"Tehran","Qajar",52,50,54,48,60,"A peacock throne in a dusty new capital."
industrial,MEC,"Smyrna","Levantine",54,76,66,56,44,"The Levant's busiest quay, bargaining in a dozen tongues."
industrial,EAF,"Khartoum","Nile Junction",42,48,38,42,60,"Where the two Niles meet and Gordon fell."
industrial,WAF,"Sokoto","Caliphate",44,46,54,62,58,"Seat of the caliphate that ruled the savanna."
early20,CN,"Nanjing","Republican",64,58,64,68,58,"The republic's decade of hope on the Yangtze."
early20,SAS,"Delhi","New Delhi",62,58,62,58,74,"An empire built its grandest capital just in time to lose it."
